,case_number,year,type,country,activity,injury,mes,deceso,genero,especies,edad,wspeed_950mb,wspeed_900mb,wspeed_850mb,wspeed_800mb,wspeed_750mb,wspeed_700mb,wspeed_650mb,wspeed_600mb,wspeed_550mb,wspeed_500mb,wspeed_450mb,wspeed_400mb,wspeed_350mb,wspeed_300mb,wspeed_250mb,wspeed_200mb,wdir_200mb,wdir_250mb,wdir_300mb,wdir_350mb,wdir_400mb,wdir_450mb,wdir_500mb,wdir_550mb,wdir_600mb,wdir_650mb,wdir_700mb,wdir_750mb,wdir_800mb,wdir_850mb,wdir_900mb,wdir_950mb,rh_950mb,rh_900mb,rh_850mb,rh_800mb,rh_750mb,rh_700mb,rh_650mb,rh_600mb,rh_550mb,rh_500mb,rh_450mb,rh_400mb,rh_350mb,rh_300mb,rh_250mb,rh_200mb,timepoint,cloudcover,highcloud,midcloud,lowcloud,temp2m,lifted_index,rh2m,msl_pressure,prec_amount,snow_depth,wind10m.speed
10,2018.02.23,2018,Unprovoked,australia,Swimming,Laceratons to right leg & foot,Feb,N,F,White,55.0,3.515625,3.53125,3.453125,3.390625,3.328125,3.3125,3.359375,3.46875,3.484375,3.5625,3.671875,3.734375,3.890625,4.234375,4.859375,5.296875,143.359375,134.6875,124.453125,109.0625,107.421875,119.375,109.0625,108.515625,120.703125,118.203125,110.703125,120.0,129.453125,133.59375,123.671875,105.546875,13.703125,11.671875,8.5625,6.421875,5.546875,4.859375,4.125,3.890625,3.328125,3.3125,3.046875,2.8125,2.0,3.40625,3.640625,5.5625,97.5,3.40625,-9999.0,-9999.0,-9999.0,25.84375,-3.453125,10.75,1015.546875,3.0625,0.0,3.25
11,2018.02.15,2018,Unprovoked,australia,Walking,Puncture wounds to leff foot & lower leg,Feb,N,M,Bull,35.0,3.515625,3.53125,3.453125,3.390625,3.328125,3.3125,3.359375,3.46875,3.484375,3.5625,3.671875,3.734375,3.890625,4.234375,4.859375,5.296875,143.359375,134.6875,124.453125,109.0625,107.421875,119.375,109.0625,108.515625,120.703125,118.203125,110.703125,120.0,129.453125,133.59375,123.671875,105.546875,13.703125,11.671875,8.5625,6.421875,5.546875,4.859375,4.125,3.890625,3.328125,3.3125,3.046875,2.8125,2.0,3.40625,3.640625,5.5625,97.5,3.40625,-9999.0,-9999.0,-9999.0,25.84375,-3.453125,10.75,1015.546875,3.0625,0.0,3.25
12,2017.12.31,2017,Unprovoked,usa,Surfing,Severe lacerations to left thigh & knee,Dec,N,F,Tiger,54.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
13,2017.11.24,2017,Unprovoked,usa,Spearfishing,Right leg bitten,Nov,N,M,White,25.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
14,2017.11.13,2017,Unprovoked,australia,Surfing,Puncture wounds to left shoulder,Nov,N,M,Unspecified,25.0,3.515625,3.53125,3.453125,3.390625,3.328125,3.3125,3.359375,3.46875,3.484375,3.5625,3.671875,3.734375,3.890625,4.234375,4.859375,5.296875,143.359375,134.6875,124.453125,109.0625,107.421875,119.375,109.0625,108.515625,120.703125,118.203125,110.703125,120.0,129.453125,133.59375,123.671875,105.546875,13.703125,11.671875,8.5625,6.421875,5.546875,4.859375,4.125,3.890625,3.328125,3.3125,3.046875,2.8125,2.0,3.40625,3.640625,5.5625,97.5,3.40625,-9999.0,-9999.0,-9999.0,25.84375,-3.453125,10.75,1015.546875,3.0625,0.0,3.25
15,2017.10.28,2017,Unprovoked,australia,Surfing,Minor injury to foot,Oct,N,M,Unspecified,31.0,3.515625,3.53125,3.453125,3.390625,3.328125,3.3125,3.359375,3.46875,3.484375,3.5625,3.671875,3.734375,3.890625,4.234375,4.859375,5.296875,143.359375,134.6875,124.453125,109.0625,107.421875,119.375,109.0625,108.515625,120.703125,118.203125,110.703125,120.0,129.453125,133.59375,123.671875,105.546875,13.703125,11.671875,8.5625,6.421875,5.546875,4.859375,4.125,3.890625,3.328125,3.3125,3.046875,2.8125,2.0,3.40625,3.640625,5.5625,97.5,3.40625,-9999.0,-9999.0,-9999.0,25.84375,-3.453125,10.75,1015.546875,3.0625,0.0,3.25
16,2017.10.22,2017,Unprovoked,australia,Kayaking / Fishing,Minor injuries,Oct,N,F,White,15.0,3.515625,3.53125,3.453125,3.390625,3.328125,3.3125,3.359375,3.46875,3.484375,3.5625,3.671875,3.734375,3.890625,4.234375,4.859375,5.296875,143.359375,134.6875,124.453125,109.0625,107.421875,119.375,109.0625,108.515625,120.703125,118.203125,110.703125,120.0,129.453125,133.59375,123.671875,105.546875,13.703125,11.671875,8.5625,6.421875,5.546875,4.859375,4.125,3.890625,3.328125,3.3125,3.046875,2.8125,2.0,3.40625,3.640625,5.5625,97.5,3.40625,-9999.0,-9999.0,-9999.0,25.84375,-3.453125,10.75,1015.546875,3.0625,0.0,3.25
17,2017.10.09,2017,Unprovoked,usa,Surfing,Lacerations to left hand,Oct,N,M,Tiger,54.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
18,2017.10.05,2017,Unprovoked,usa,Snorkeling,Abrasions,Oct,N,F,Unspecified,40.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
19,2017.09.24.b,2017,Invalid,usa,Surfing,"Lacerations to right ankle, foot & toe",Sep,Unknown,M,Unspecified,33.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
20,2017.09.13,2017,Unprovoked,usa,Surfing,Lacerations to left foot,Sep,N,M,Unspecified,18.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
21,2017.09.10.a,2017,Unprovoked,australia,Surfing,Minor lacerations to right hip,Sep,N,M,White,35.0,3.515625,3.53125,3.453125,3.390625,3.328125,3.3125,3.359375,3.46875,3.484375,3.5625,3.671875,3.734375,3.890625,4.234375,4.859375,5.296875,143.359375,134.6875,124.453125,109.0625,107.421875,119.375,109.0625,108.515625,120.703125,118.203125,110.703125,120.0,129.453125,133.59375,123.671875,105.546875,13.703125,11.671875,8.5625,6.421875,5.546875,4.859375,4.125,3.890625,3.328125,3.3125,3.046875,2.8125,2.0,3.40625,3.640625,5.5625,97.5,3.40625,-9999.0,-9999.0,-9999.0,25.84375,-3.453125,10.75,1015.546875,3.0625,0.0,3.25
22,2017.08.29,2017,Unprovoked,australia,Surfing,"No injury, board bitten",Aug,N,M,White,37.0,3.515625,3.53125,3.453125,3.390625,3.328125,3.3125,3.359375,3.46875,3.484375,3.5625,3.671875,3.734375,3.890625,4.234375,4.859375,5.296875,143.359375,134.6875,124.453125,109.0625,107.421875,119.375,109.0625,108.515625,120.703125,118.203125,110.703125,120.0,129.453125,133.59375,123.671875,105.546875,13.703125,11.671875,8.5625,6.421875,5.546875,4.859375,4.125,3.890625,3.328125,3.3125,3.046875,2.8125,2.0,3.40625,3.640625,5.5625,97.5,3.40625,-9999.0,-9999.0,-9999.0,25.84375,-3.453125,10.75,1015.546875,3.0625,0.0,3.25
23,2017.08.23,2017,Unprovoked,usa,SUP,Not injured by shark but board bitten,Aug,N,M,White,25.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
24,2017.08.10,2017,Unprovoked,usa,Swimming,Minor cuts to sole & toes of left foot,Aug,N,M,Unspecified,13.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
25,2017.08.03,2017,Provoked,usa,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,Aug,N,M,Unspecified,34.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
26,2017.07.29.c,2017,Invalid,usa,Swimming,Abrasions and cuts to sole of foot,Jul,Unknown,M,Unspecified,10.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
27,2017.07.20.b,2017,Boating,usa,Kayaking,"No injury, kayak bitten",Jul,N,M,White,40.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
28,2017.07.20.a,2017,Unprovoked,usa,SUP,"No injury, shark bit paddleboard",Jul,N,M,White,50.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
29,2017.07.09,2017,Unprovoked,usa,Swimming,Lower legs bitten,Jul,N,M,Bull,46.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
30,2017.07.07,2017,Unprovoked,south africa,Surfing,"No injury, shark bit surfboard",Jul,N,F,White,13.0,2.515625,2.328125,2.28125,2.171875,2.203125,2.21875,2.34375,2.46875,2.625,3.125,3.65625,3.796875,3.71875,3.984375,4.234375,4.6875,200.46875,216.328125,210.078125,233.59375,236.484375,231.640625,231.640625,215.390625,212.890625,207.578125,194.765625,181.71875,162.1875,170.46875,160.0,141.171875,12.90625,9.984375,7.015625,7.65625,8.921875,7.9375,8.875,7.125,4.265625,2.484375,0.578125,0.453125,2.046875,3.75,5.46875,8.234375,97.5,5.390625,-9999.0,-9999.0,-9999.0,23.875,2.359375,10.203125,1019.28125,0.90625,0.0,2.53125
31,2017.06.11,2017,Unprovoked,australia,Body boarding,"No injury, board bitten",Jun,N,M,White,48.0,3.515625,3.53125,3.453125,3.390625,3.328125,3.3125,3.359375,3.46875,3.484375,3.5625,3.671875,3.734375,3.890625,4.234375,4.859375,5.296875,143.359375,134.6875,124.453125,109.0625,107.421875,119.375,109.0625,108.515625,120.703125,118.203125,110.703125,120.0,129.453125,133.59375,123.671875,105.546875,13.703125,11.671875,8.5625,6.421875,5.546875,4.859375,4.125,3.890625,3.328125,3.3125,3.046875,2.8125,2.0,3.40625,3.640625,5.5625,97.5,3.40625,-9999.0,-9999.0,-9999.0,25.84375,-3.453125,10.75,1015.546875,3.0625,0.0,3.25
32,2017.05.03,2017,Invalid,usa,Surfing,"Laceration to thigh, likely caused by surfboard fin",May,Unknown,F,Unspecified,18.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
33,2017.04.17.a,2017,Unprovoked,australia,Surfing,FATAL,Apr,Y,F,White,17.0,3.515625,3.53125,3.453125,3.390625,3.328125,3.3125,3.359375,3.46875,3.484375,3.5625,3.671875,3.734375,3.890625,4.234375,4.859375,5.296875,143.359375,134.6875,124.453125,109.0625,107.421875,119.375,109.0625,108.515625,120.703125,118.203125,110.703125,120.0,129.453125,133.59375,123.671875,105.546875,13.703125,11.671875,8.5625,6.421875,5.546875,4.859375,4.125,3.890625,3.328125,3.3125,3.046875,2.8125,2.0,3.40625,3.640625,5.5625,97.5,3.40625,-9999.0,-9999.0,-9999.0,25.84375,-3.453125,10.75,1015.546875,3.0625,0.0,3.25
34,2017.04.14,2017,Unprovoked,usa,Surfing,Lower right leg severely injured,Apr,N,M,Tiger,28.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
35,2017.04.02.a,2017,Unprovoked,usa,Swimming,Lacerations to thighs,Apr,N,F,Bull,17.0,2.703125,2.96875,3.234375,3.578125,3.609375,3.828125,4.203125,4.5,4.703125,5.09375,5.28125,5.515625,5.90625,6.140625,6.546875,6.40625,265.546875,222.1875,218.59375,240.234375,241.09375,237.421875,251.953125,266.25,249.140625,254.375,254.84375,262.109375,266.640625,263.984375,240.703125,243.59375,3.984375,4.390625,4.78125,4.390625,4.28125,4.4375,3.53125,2.4375,2.9375,3.59375,4.234375,4.03125,4.234375,5.734375,6.671875,4.59375,97.5,4.5,-9999.0,-9999.0,-9999.0,11.90625,11.390625,3.921875,1018.125,0.28125,0.0,2.578125
